,buytime,buyprice,stoploss,target,selltime,profit,open,high,close,low,5ema,9ema,21ema,rsi,openCloseDiff,ema5_highDiff,ema5_lowDiff
788,26-09-2018 00:00,26.88,27.22,24.16,26-09-2018 00:20,-1.264880952,27.17,27.22,26.97,26.88,26.59063202,26.21738567,25.71047276,80.65986868,0.736105999,2.312152762,1.076517789
789,26-09-2018 00:35,27.57,27.72,26.37,26-09-2018 00:40,-0.544069641,27.72,27.72,27.58,27.57,27.4760315,27.2068463,26.53951912,78.86778618,0.505050505,0.880117231,0.340836041
790,19-05-2019 23:55,31.87,32.65,25.63,20-05-2019 00:40,-2.447442736,32.48,32.65,31.9,31.87,31.62178342,31.29893808,30.84801086,70.49840075,1.785714286,3.149208515,0.778840854
791,22-05-2019 23:55,34.82,35.13,32.34,23-05-2019 00:30,-0.890292935,35.03,35.13,34.82,34.82,34.53357835,34.28540321,33.9863222,75.48593763,0.599486155,1.697755893,0.822577959
792,23-05-2019 00:55,35.62,35.87,33.62,24-05-2019 00:15,-0.701852892,35.87,35.87,35.62,35.62,35.40560491,35.19337496,34.75581256,74.29239213,0.696961249,1.294661538,0.601895266
793,15-09-2019 23:50,37.38,37.7,34.82,19-09-2019 01:40,6.848582129,37.68,37.7,37.4,37.38,36.93308038,36.68024693,36.39475769,74.3461277,0.743099788,2.034269556,1.195611617
794,23-09-2019 01:55,38.27,38.53,36.19,25-09-2019 05:00,5.435066632,38.5,38.53,38.28,38.27,38.18004649,37.99298931,37.56738906,73.97520419,0.571428571,0.908262421,0.235049676
795,27-03-2020 00:10,25.02,25.58,20.54,20-04-2020 04:05,-2.238209432,25.48,25.58,25.05,25.02,24.79995061,24.30845641,23.42215986,79.1829648,1.687598116,3.049450319,0.879493971
796,15-05-2020 00:20,22.35,22.65,19.95,15-05-2020 00:50,-1.342281879,22.6,22.65,22.4,22.35,22.09596315,21.82261065,21.52787666,74.95055308,0.884955752,2.446078815,1.136630208
797,07-06-2020 23:45,24.82,25.1,22.58,08-06-2020 00:05,-1.128122482,25.07,25.1,24.88,24.82,24.72744985,24.66968582,24.61752586,75.22688486,0.757877942,1.484263528,0.372885356
798,21-06-2020 23:50,27.18,27.43,25.18,22-06-2020 03:25,-0.919793966,27.4,27.43,27.22,27.18,27.05379286,26.80285324,26.40885862,74.61846474,0.656934307,1.37151708,0.464338245
